"Order method code","Retailer code","Product number",Date,Quantity,"Unit price","Unit sale price","Product line","Product type",Product,"Product brand","Product color","Unit cost","Unit price","Retailer name",Type,Country,"Order method type"
4,1201,115110,2015-01-12,755,10.71,10.28,"Golf Equipment","Golf Accessories","Course Pro Gloves","Course Pro",Red,2.54,10.71,"The Marketplace","Department Store","United States",E-mail
4,1201,115110,2015-02-09,508,10.71,10.28,"Golf Equipment","Golf Accessories","Course Pro Gloves","Course Pro",Red,2.54,10.71,"The Marketplace","Department Store","United States",E-mail
5,1201,115110,2015-08-12,768,10.71,10.28,"Golf Equipment","Golf Accessories","Course Pro Gloves","Course Pro",Red,2.54,10.71,"The Marketplace","Department Store","United States",Web
4,1201,114110,2015-01-12,88,219.3,203.95,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",E-mail
4,1201,114110,2015-02-09,88,219.3,203.95,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",E-mail
5,1201,114110,2015-03-08,97,219.3,189.7,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
5,1201,114110,2015-03-08,39,219.3,175.44,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
5,1201,114110,2015-04-13,167,219.3,189.7,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
5,1201,114110,2015-06-09,86,219.3,203.95,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
5,1201,114110,2015-07-13,88,219.3,203.95,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
5,1201,114110,2015-09-09,86,219.3,203.95,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
5,1201,114110,2015-10-22,76,219.3,203.95,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
5,1201,114110,2015-11-12,78,219.3,203.95,"Golf Equipment","Golf Accessories","Course Pro Golf Bag","Course Pro",Grey,79.7,219.3,"The Marketplace","Department Store","United States",Web
4,1201,113110,2015-02-09,874,12.81,12.3,"Golf Equipment","Golf Accessories","Course Pro Umbrella","Course Pro",Red,6.08,12.81,"The Marketplace","Department Store","United States",E-mail
5,1201,113110,2015-03-08,38,12.81,0,"Golf Equipment","Golf Accessories","Course Pro Umbrella","Course Pro",Red,6.08,12.81,"The Marketplace","Department Store","United States",Web
5,1201,113110,2015-03-08,39,12.81,0,"Golf Equipment","Golf Accessories","Course Pro Umbrella","Course Pro",Red,6.08,12.81,"The Marketplace","Department Store","United States",Web
5,1201,113110,2015-04-13,124,12.81,0,"Golf Equipment","Golf Accessories","Course Pro Umbrella","Course Pro",Red,6.08,12.81,"The Marketplace","Department Store","United States",Web
